mep_name,assistant_type,total_assistant_changes
René AUST,accredited_grouping,1
Robert BIEDROŃ,accredited,1
Robert BIEDROŃ,accredited_grouping,1
Robert ROOS,accredited,1
Fabrice LEGGERI,accredited_grouping,1
Fernando NAVARRETE ROJAS,accredited,1
Filip TUREK,accredited,1
Pilar del CASTILLO VERA,accredited,1
Rachel BLOM,accredited_grouping,1
Radosław SIKORSKI,accredited,1
Raffaele FITTO,accredited,1
Raffaele STANCANELLI,accredited,1
Ralf SEEKATZ,accredited_grouping,1
Raphaël GLUCKSMANN,accredited_grouping,1
Rasmus ANDRESEN,accredited_grouping,1
Aura SALLA,accredited,1
Aurore LALUCQ,accredited_grouping,1
Aušra SEIBUTYTĖ,accredited,1
Axel VOSS,accredited_grouping,1
Barbara Ann GIBSON,accredited,1
Barbara THALER,accredited,1
Bartłomiej SIENKIEWICZ,accredited,1
Beata MAZUREK,accredited,1
Anne-Sophie FRIGOUT,accredited_grouping,1
Annika BRUNA,accredited,1
Antonio DECARO,accredited,1
Antonius MANDERS,accredited,1
Antony HOOK,accredited,1
Arnaud DANJEAN,accredited,1
Assita KANKO,accredited,1
Attila ARA-KOVÁCS,accredited,1
Rosa D'AMATO,accredited,1
Rosanna CONTE,accredited,1
Roxana MÎNZATU,accredited,1
Sabine VERHEYEN,accredited,1
Sabine VERHEYEN,accredited_grouping,1
Sabrina PIGNEDOLI,accredited,1
Sabrina REPP,accredited,1
Sakis ARNAOUTOGLOU,accredited,1
Gilles PENNELLE,accredited_grouping,1
Giorgio GORI,accredited,1
Giovanni CROSETTO,accredited,1
Giuseppe ANTOCI,accredited,1
Giuseppe LUPO,accredited,1
Roberto VANNACCI,accredited,1
Rody TOLASSY,accredited,1
Rody TOLASSY,accredited_grouping,1
Friedrich PÜRNER,accredited,1
Gabriel MATO,accredited,1
Gabriela FIREA,accredited,1
Gaetano PEDULLA',accredited,1
Georg MAYER,accredited,1
Georgios AFTIAS,accredited,1
Gilles LEBRETON,accredited,1
Gilles PENNELLE,accredited,1
Flavio TOSI,accredited,1
France JAMET,accredited_grouping,1
Francesco VENTOLA,accredited,1
Francesco VENTOLA,accredited_grouping,1
Francisco ASSIS,accredited,1
Francisco GUERREIRO,accredited,1
François KALFON,accredited_grouping,1
François-Xavier BELLAMY,accredited_grouping,1
Adina VĂLEAN,accredited,1
Aleksandar NIKOLIC,accredited_grouping,1
Özlem DEMIREL,accredited_grouping,1
Ľubica KARVAŠOVÁ,accredited,1
Ľuboš BLAHA,accredited_grouping,1
Alberico GAMBINO,accredited,1
Adrian-George AXINIA,accredited,1
Alessandro CIRIANI,accredited,1
Andreas SCHWAB,accredited,1
Andreas SCHWAB,accredited_grouping,1
Andrus ANSIP,accredited,1
András Tivadar KULJA,accredited,1
Adrian-Dragoş BENEA,accredited,1
Adina-Ioana VĂLEAN,accredited,1
Alessandra BASSO,accredited,1
Zbigniew KUŹMIUK,accredited,1
Stéphane BIJOUX,accredited,1
Sven MIKSER,accredited_grouping,1
Sven SCHULZE,accredited,1
Sven SIMON,accredited_grouping,1
Sylvie BRUNET,accredited,1
Sylwia SPUREK,accredited,1
Sándor RÓNAI,accredited,1
Andrea WECHSLER,accredited_grouping,1
Evelyne GEBHARDT,accredited,1
Evžen TOŠENOVSKÝ,accredited,1
Ewa ZAJĄCZKOWSKA-HERNIK,accredited,1
Fabrice LEGGERI,accredited,1
Stefan KÖHLER,accredited,1
Stefan KÖHLER,accredited_grouping,1
Stefano CAVEDAGNA,accredited,1
Stelios KYMPOUROPOULOS,accredited,1
Anna CAVAZZINI,accredited_grouping,1
Sérgio HUMBERTO,accredited_grouping,1
Terry REINTKE,accredited_grouping,1
Thierry MARIANI,accredited_grouping,1
Thijs REUTEN,accredited,1
Thomas BAJADA,accredited,1
Thomas PELLERIN-CARLIN,accredited,1
Thomas PELLERIN-CARLIN,accredited_grouping,1
Veronika CIFROVÁ OSTRIHOŇOVÁ,accredited,1
Veronika CIFROVÁ OSTRIHOŇOVÁ,accredited_grouping,1
Virginie JORON,accredited_grouping,1
Virginijus SINKEVIČIUS,accredited,1
André ROUGÉ,accredited_grouping,1
Angelika NIEBLER,accredited_grouping,1
Angéline FURET,accredited_grouping,1
Anna BRYŁKA,accredited,1
Ana MIRANDA PAZ,accredited,1
Udo BULLMANN,accredited,1
Valentina PALMISANO,accredited,1
Valentino GRANT,accredited,1
Valérie DELOGE,accredited_grouping,1
Valérie DEVAUX,accredited,1
Valérie HAYER,accredited,1
Verena MERTENS,accredited_grouping,1
Alessandro ZAN,accredited,1
Alessandro ZAN,accredited_grouping,1
Alexander JUNGBLUTH,accredited,1
Alexander SELL,accredited,1
Alexandra GEESE,accredited_grouping,1
Alexandra MEHNERT,accredited,1
Alexandra MEHNERT,accredited_grouping,1
Alfred SANT,accredited,1
